state,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
nc,940.8628231049724,968.9709337005103,1004.856199722973,1049.964105540698,1105.1602271472545,1156.4525987909124,1287.3804608199027,1422.5673870551836,1454.0558391096315,1483.9374477623185,1505.7290370230637
nd,,871.8228214979166,941.9453316217066,953.3078459187575,973.2426590502004,913.8102613535065,942.9732835148642,999.3160279177837,1089.6186815418762,1115.049988401288,1173.5673063020497
ne,867.6516044342039,859.8417775167516,887.3818315759054,916.9311014706175,944.9918081904775,982.3579438605127,928.1276738674179,1002.4847144583838,1070.81677684887,1187.0028819170611,1207.8667525857945
nh,1055.9928747744893,1088.514162194703,1145.9090100169183,1207.09692020879,1270.0474067872324,1357.9451987457783,1500.3725752555415,1646.6173410395274,1759.5404617337058,1859.9972542578937,1940.2470764852144
nj,1281.9341320852814,1313.8866824516508,1343.6735007544194,1388.7607916848679,1429.2440307943896,1491.6128235275842,1655.8418372120364,1894.3014288950067,1913.537567703497,2002.566289560825,2032.080355924536
nm,856.3879519504392,936.5041519906539,988.3287817877695,1033.6391836315822,1102.4575492472134,1156.417592147294,1292.9476407660075,1324.2354317799375,1300.652577797386,1628.7552502199221,1720.7463627556785
nv,1013.5846332838357,1076.8602349538587,1161.888637958756,1265.8607193314492,1343.680031723861,1401.5148658549945,1549.606409169105,1626.1627122598995,1754.3929603016607,1762.7192239735418,1754.0512630797475
ny,1255.8344356451514,1213.6462183225865,1256.8296311259717,1258.7119581209865,1335.477337142317,1395.7940949981703,1465.7819829665318,1611.9095412204722,1659.874710667618,1596.6342146856014,1577.6507651581974
oh,764.1658786260506,781.4052374353774,808.4213052878138,827.7594564244625,859.0543584210845,897.8200544961064,968.5132226231251,1020.5749566322299,1049.0506354575414,1095.8912834544406,1159.715008426352
ok,824.4723317088252,831.5338919129744,841.4274192928509,859.7160441983315,883.3859150634066,943.2089708655965,1019.4820886735281,1017.2798646364151,1055.7730577187722,1132.4196740065381,1110.2171615336931
or,1058.7098620950148,1145.0032736993353,1217.1817809014055,1272.0935251972242,1331.5764880626155,1392.4675504602192,1512.2930492472055,1556.9277999866304,1603.496604459827,1592.0411995601419,1679.0556270470356
pa,897.9245629597772,898.5922356499518,927.9402621533713,931.4448711724975,996.6200589378436,1035.3990513740885,1120.5876926040708,1200.7888610578195,1188.1205455110855,1228.7341201637873,1236.1984872749795
